,combination_name,drug_name_1,drug_name_2,snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name,total_cases_md_snomed_drugs,total_cases_md_drugs,relative_frequency_md (y_obs),total_cases_sd_snomed_drug1,total_cases_sd_drug_1,total_cases_sd_snomed_drug2,total_cases_sd_drug_2,bliss_independence (y_pred),bliss_ratio,chi2_obs,chi2_exp,chi2_ratio,chi2,p
33482,macitentan & selexipag,macitentan,selexipag,70995007,Pulmonary hypertension,Pulmonary hypertensions,"Respiratory, thoracic and mediastinal disorders",25,5362,0.00466,54,10192,10,3749,0.00796,0.58543,0.00468427955780401,0.004611947827340203,1.0156835534944726,0.0,1.0
33606,metformin & sitagliptin,metformin,sitagliptin,60046008,Pleural effusion,Pneumothorax and pleural effusions NEC,"Respiratory, thoracic and mediastinal disorders",17,1807,0.00941,16,4198,45,7064,0.01016,0.92618,0.009497206703910615,0.005445942326577984,1.7439051195164395,3.53578206421538,0.060058005023073145
33904,metformin & ramipril,metformin,ramipril,422400008,Vomiting,Nausea and vomiting symptoms,Gastrointestinal disorders,7,139,0.05036,80,4198,10,767,0.03185,1.58116,0.05303030303030303,0.018461538461538463,2.8724747474747474,5.905423511136291,0.015094336096680417
33913,methotrexate & tofacitinib,methotrexate,tofacitinib,422400008,Vomiting,Nausea and vomiting symptoms,Gastrointestinal disorders,12,965,0.01244,27,2139,35,3663,0.02206,0.56392,0.012591815320041973,0.010801393728222997,1.1657583860813052,0.10028186518369284,0.7514916466752588
33984,methotrexate & tofacitinib,methotrexate,tofacitinib,22253000,Pain,Pain and discomfort NEC,General disorders and administration site conditions,19,965,0.01969,17,2139,79,3663,0.02935,0.67087,0.0200845665961945,0.016824395373291272,1.1937764270613107,0.3192303936444975,0.5720705176255299
34358,ambrisentan & selexipag,ambrisentan,selexipag,14760008,Constipation,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal disorders,6,2479,0.00242,16,2956,17,3749,0.00992,0.24395,0.002426202992317024,0.0049460431654676255,0.4905341322648238,2.1191392495990296,0.14546827851502042
34359,macitentan & selexipag,macitentan,selexipag,14760008,Constipation,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal disorders,31,5362,0.00578,51,10192,17,3749,0.00951,0.60778,0.005815044081785781,0.004901607438910113,1.1863545080384434,0.45539348500966453,0.4997847402289374
34375,ambrisentan & selexipag,ambrisentan,selexipag,68235000,Nasal congestion,Nasal congestion and inflammations,"Respiratory, thoracic and mediastinal disorders",25,2479,0.01008,38,2956,14,3749,0.01654,0.60943,0.010187449062754686,0.007816022846836013,1.3034057425866719,0.9175628558710462,0.3381157014478234
34376,macitentan & selexipag,macitentan,selexipag,68235000,Nasal congestion,Nasal congestion and inflammations,"Respiratory, thoracic and mediastinal disorders",31,5362,0.00578,116,10192,14,3749,0.01507,0.38354,0.005815044081785781,0.009412786908985591,0.6177813370272571,5.458582143744848,0.019472441212043237
34396,ambrisentan & selexipag,ambrisentan,selexipag,386211005,Dyspepsia,Dyspeptic signs and symptoms,Gastrointestinal disorders,11,2479,0.00444,14,2956,12,3749,0.00792,0.56061,0.004457050243111832,0.003892798323102261,1.1449476374516894,0.03620208167371096,0.849098778137354
34397,macitentan & selexipag,macitentan,selexipag,386211005,Dyspepsia,Dyspeptic signs and symptoms,Gastrointestinal disorders,24,5362,0.00448,29,10192,12,3749,0.00604,0.74172,0.004496065942300487,0.002949640287769784,1.5242760145847993,2.280645127087945,0.1309973743174128
34406,ambrisentan & selexipag,ambrisentan,selexipag,22325002,Gait disturbance,Gait disturbances,General disorders and administration site conditions,14,2479,0.00565,13,2956,20,3749,0.00971,0.58187,0.005679513184584178,0.0049460431654676255,1.1482943020468377,0.07181456861933788,0.7887128634350702
34407,macitentan & selexipag,macitentan,selexipag,22325002,Gait disturbance,Gait disturbances,General disorders and administration site conditions,27,5362,0.00504,41,10192,20,3749,0.00933,0.54019,0.005060918462980318,0.004394812680115274,1.1515663650191281,0.24037098559506628,0.6239382977623451
34409,ambrisentan & treprostinil,ambrisentan,treprostinil,22325002,Gait disturbance,Gait disturbances,General disorders and administration site conditions,7,1337,0.00524,13,2956,7,1280,0.00985,0.53198,0.005263157894736842,0.004743833017077799,1.1094736842105264,0.00010350122896306275,0.991882817261322
34410,macitentan & treprostinil,macitentan,treprostinil,22325002,Gait disturbance,Gait disturbances,General disorders and administration site conditions,9,2408,0.00374,41,10192,7,1280,0.00947,0.39493,0.003751563151313047,0.004201680672268907,0.8928720300125053,0.01856780487286675,0.8916127934579715
34426,ambrisentan & selexipag,ambrisentan,selexipag,276438008,Swelling,General signs and symptoms NEC,General disorders and administration site conditions,9,2479,0.00363,23,2956,14,3749,0.01148,0.3162,0.0036437246963562753,0.005548890221955609,0.6566582777109092,0.9431120845104918,0.3314787762145103
34427,macitentan & selexipag,macitentan,selexipag,276438008,Swelling,General signs and symptoms NEC,General disorders and administration site conditions,20,5362,0.00373,53,10192,14,3749,0.00891,0.41863,0.0037439161362785474,0.004829176877612801,0.7752700369362472,0.7738800060764297,0.3790194113569876
34449,ambrisentan & treprostinil,ambrisentan,treprostinil,49727002,Cough,Coughing and associated symptoms,"Respiratory, thoracic and mediastinal disorders",24,1337,0.01795,54,2956,26,1280,0.03821,0.46977,0.01827875095201828,0.019249278152069296,0.9495811119573497,0.010895190337679635,0.9168677710925399
34450,macitentan & treprostinil,macitentan,treprostinil,49727002,Cough,Coughing and associated symptoms,"Respiratory, thoracic and mediastinal disorders",54,2408,0.02243,193,10192,26,1280,0.03887,0.57705,0.022939677145284623,0.019461476939482806,1.1787223146844195,0.9817642714675879,0.321763623784434
34459,ambrisentan & selexipag,ambrisentan,selexipag,51476001,Nasopharyngitis,Upper respiratory tract infections,Infections and infestations,16,2479,0.00645,20,2956,28,3749,0.01419,0.45455,0.006496142915144133,0.007210455159981974,0.9009338205440519,0.04798900452037099,0.8266002496326665
34461,macitentan & selexipag,macitentan,selexipag,51476001,Nasopharyngitis,Upper respiratory tract infections,Infections and infestations,30,5362,0.00559,81,10192,28,3749,0.01536,0.36393,0.005626406601650412,0.007880277617119723,0.7139858359085183,2.3766009875101455,0.123165271478507
34495,macitentan & treprostinil,macitentan,treprostinil,34095006,Dehydration,Total fluid volume decreased,Metabolism and nutrition disorders,8,2408,0.00332,40,10192,8,1280,0.01015,0.32709,0.0033333333333333335,0.004201680672268907,0.7933333333333334,0.1846712452840458,0.667389203310254
34501,macitentan & selexipag,macitentan,selexipag,68566005,Urinary tract infection,Urinary tract infections,Infections and infestations,21,5362,0.00392,65,10192,13,3749,0.00983,0.39878,0.003931847968545216,0.005626487773209262,0.6988103639479786,1.822093047021385,0.17706433751031506
34552,ambrisentan & selexipag,ambrisentan,selexipag,87715008,Aptyalism,Oral dryness and saliva altered,Gastrointestinal disorders,7,2479,0.00282,8,2956,6,3749,0.00431,0.65429,0.0028317152103559872,0.002092362875504409,1.3533576051779936,0.16747314111892728,0.6823673406463117
34553,macitentan & selexipag,macitentan,selexipag,87715008,Aptyalism,Oral dryness and saliva altered,Gastrointestinal disorders,9,5362,0.00168,21,10192,6,3749,0.00366,0.45902,0.0016813002054922473,0.0019404915912031048,0.8664300392303381,0.03469421596168644,0.8522378671830189
34562,ambrisentan & selexipag,ambrisentan,selexipag,6142004,Influenza,Influenza viral infections,Infections and infestations,9,2479,0.00363,12,2956,9,3749,0.00645,0.56279,0.0036437246963562753,0.0031418312387791743,1.1597455176402545,0.027454793750641582,0.8683970743576058
34563,macitentan & selexipag,macitentan,selexipag,6142004,Influenza,Influenza viral infections,Infections and infestations,29,5362,0.00541,55,10192,9,3749,0.00779,0.69448,0.005437839864991562,0.004611947827340203,1.1790766219763735,0.3829073114180557,0.5360513848955548
34569,macitentan & selexipag,macitentan,selexipag,13645005,Chronic obstructive pulmonary disease,Bronchospasm and obstruction,"Respiratory, thoracic and mediastinal disorders",14,5362,0.00261,49,10192,10,3749,0.00747,0.3494,0.002617801047120419,0.004250108053594583,0.6159375277309433,2.2882570206519475,0.13035623820912048
34576,ambrisentan & selexipag,ambrisentan,selexipag,19829001,Lung disorder,Respiratory tract disorders NEC,"Respiratory, thoracic and mediastinal disorders",6,2479,0.00242,10,2956,10,3749,0.00604,0.40066,0.002426202992317024,0.0029917726252804786,0.8109583501819653,0.052532909471006,0.818713015703779
34577,macitentan & selexipag,macitentan,selexipag,19829001,Lung disorder,Respiratory tract disorders NEC,"Respiratory, thoracic and mediastinal disorders",7,5362,0.00131,18,10192,10,3749,0.00444,0.29505,0.00130718954248366,0.0020125062890821535,0.64953314659197,0.7046336150370003,0.4012310988579506
34619,ambrisentan & selexipag,ambrisentan,selexipag,386807006,Memory impairment,Memory loss (excl dementia),Nervous system disorders,7,2479,0.00282,9,2956,10,3749,0.0057,0.49474,0.0028317152103559872,0.0028417588991923423,0.9964656787600068,0.0,1.0
34620,macitentan & selexipag,macitentan,selexipag,386807006,Memory impairment,Memory loss (excl dementia),Nervous system disorders,9,5362,0.00168,29,10192,10,3749,0.00551,0.3049,0.0016813002054922473,0.0028053517479499353,0.5993188578654672,1.5298660540289968,0.21613254875454807
34629,ambrisentan & selexipag,ambrisentan,selexipag,36971009,Sinusitis,Upper respiratory tract infections,Infections and infestations,11,2479,0.00444,11,2956,10,3749,0.00638,0.69592,0.004457050243111832,0.0031418312387791743,1.4186154202361658,0.5519324799701443,0.4575291572369631
34630,macitentan & selexipag,macitentan,selexipag,36971009,Sinusitis,Upper respiratory tract infections,Infections and infestations,15,5362,0.0028,35,10192,10,3749,0.00609,0.45977,0.0028053113895642415,0.003238341968911917,0.8662801570974379,0.11346235653065113,0.7362362073442793
34649,macitentan & selexipag,macitentan,selexipag,271771009,Joint swelling,Joint related signs and symptoms,Musculoskeletal and connective tissue disorders,9,5362,0.00168,22,10192,8,3749,0.00429,0.39161,0.0016813002054922473,0.0021565667457407807,0.779618905286755,0.22771582347678854,0.6332227076223158
34659,ambrisentan & selexipag,ambrisentan,selexipag,7973008,Visual impairment,Visual impairment and blindness (excl colour blindness),Eye disorders,7,2479,0.00282,7,2956,6,3749,0.00397,0.71033,0.0028317152103559872,0.0019426180514046623,1.4576798605924821,0.3085028150436936,0.5786003742234277
34660,macitentan & selexipag,macitentan,selexipag,7973008,Visual impairment,Visual impairment and blindness (excl colour blindness),Eye disorders,11,5362,0.00205,17,10192,6,3749,0.00327,0.62691,0.0020556905251354887,0.0016525362839488432,1.2439609012537274,0.16360526186708346,0.6858586992622859
34670,macitentan & selexipag,macitentan,selexipag,12584003,Bone pain,Bone related signs and symptoms,Musculoskeletal and connective tissue disorders,13,5362,0.00242,14,10192,8,3749,0.0035,0.69143,0.0024303608151056274,0.0015805733170486385,1.5376450993388742,1.1008103716330613,0.29408833038553106
34674,macitentan & selexipag,macitentan,selexipag,26079004,Tremor,Tremor (excl congenital),Nervous system disorders,12,5362,0.00224,26,10192,7,3749,0.00442,0.50679,0.0022429906542056075,0.002372735116479724,0.9453186066270178,1.8623461052524642e-09,0.9999655673650026
34695,macitentan & selexipag,macitentan,selexipag,42343007,Cardiac failure congestive,Heart failures NEC,Cardiac disorders,28,5362,0.00522,80,10192,25,3749,0.01447,0.36075,0.005249343832020997,0.0075888985255854295,0.691713535808024,2.6912960813367293,0.1008977133171523
34708,ambrisentan & selexipag,ambrisentan,selexipag,45352006,Muscle spasms,Muscle related signs and symptoms NEC,Musculoskeletal and connective tissue disorders,22,2479,0.00887,10,2956,27,3749,0.01056,0.83996,0.008954008954008955,0.005548890221955609,1.6136576136576137,2.689842034001116,0.10098982546564908
34709,macitentan & selexipag,macitentan,selexipag,45352006,Muscle spasms,Muscle related signs and symptoms NEC,Musculoskeletal and connective tissue disorders,26,5362,0.00485,28,10192,27,3749,0.00993,0.48842,0.004872563718140929,0.003960823851361083,1.2301894507291808,0.5560900363946185,0.45583993017114544
34749,macitentan & selexipag,macitentan,selexipag,80910005,Paraesthesia,Paraesthesias and dysaesthesias,Nervous system disorders,11,5362,0.00205,14,10192,7,3749,0.00324,0.63272,0.0020556905251354887,0.0015086206896551724,1.3626291480898096,0.40494943474551615,0.5245441688488431
34756,ambrisentan & selexipag,ambrisentan,selexipag,83132003,Abdominal pain upper,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal disorders,23,2479,0.00928,20,2956,30,3749,0.01472,0.63043,0.009364820846905538,0.007513148009015778,1.2464576547231272,0.5475463660093736,0.4593219843223475
34758,macitentan & selexipag,macitentan,selexipag,83132003,Abdominal pain upper,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal disorders,41,5362,0.00765,51,10192,30,3749,0.01296,0.59028,0.007705318549144897,0.005844155844155844,1.3184656184092378,1.796906164210621,0.1800869750060801
34762,macitentan & treprostinil,macitentan,treprostinil,91302008,Sepsis,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections and infestations,6,2408,0.00249,38,10192,6,1280,0.0084,0.29643,0.002497918401332223,0.0038501925096254812,0.6487775338732874,0.6618203723997422,0.4159180180767057
34764,macitentan & selexipag,macitentan,selexipag,103017008,Dizziness postural,Neurological signs and symptoms NEC,Nervous system disorders,7,5362,0.00131,10,10192,9,3749,0.00338,0.38757,0.00130718954248366,0.0013647464444763683,0.9578259373925009,0.0,1.0
34783,ambrisentan & treprostinil,ambrisentan,treprostinil,162400007,Throat irritation,Upper respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders",7,1337,0.00524,8,2956,9,1280,0.00972,0.53909,0.005263157894736842,0.004029390850912538,1.3061919504643964,0.12642756548625414,0.7221652041378686
34784,macitentan & treprostinil,macitentan,treprostinil,162400007,Throat irritation,Upper respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders",6,2408,0.00249,10,10192,9,1280,0.008,0.31125,0.002497918401332223,0.0016589539858552344,1.5057189184451554,0.377880400687721,0.5387397986030129
34788,macitentan & selexipag,macitentan,selexipag,197663003,Renal impairment,Renal failure and impairment,Renal and urinary disorders,6,5362,0.00112,17,10192,7,3749,0.00354,0.31638,0.0011202389843166542,0.0017245095925846087,0.6495985810306198,0.5593799484320017,0.45451017867505417
34790,macitentan & selexipag,macitentan,selexipag,198436008,Hot flush,Peripheral vascular disorders NEC,Vascular disorders,8,5362,0.00149,7,10192,7,3749,0.00256,0.58203,0.0014942099364960778,0.001005241617002944,1.4864186989700623,0.43751894995721674,0.5083223897907261
34795,ambrisentan & selexipag,ambrisentan,selexipag,246636008,Vision blurred,Visual disorders NEC,Eye disorders,9,2479,0.00363,13,2956,7,3749,0.00626,0.57987,0.0036437246963562753,0.0029917726252804786,1.217914979757085,0.07930357641884951,0.7782434098334474
34796,macitentan & selexipag,macitentan,selexipag,246636008,Vision blurred,Visual disorders NEC,Eye disorders,16,5362,0.00298,23,10192,7,3749,0.00413,0.72155,0.0029928918817807705,0.0021565667457407807,1.3878039655817433,0.8048447940395019,0.3696487917774942
34835,ambrisentan & selexipag,ambrisentan,selexipag,397746007,Rhinorrhoea,Upper respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders",7,2479,0.00282,7,2956,6,3749,0.00397,0.71033,0.0028317152103559872,0.0019426180514046623,1.4576798605924821,0.3085028150436936,0.5786003742234277
34836,macitentan & selexipag,macitentan,selexipag,397746007,Rhinorrhoea,Upper respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders",14,5362,0.00261,47,10192,6,3749,0.0062,0.42097,0.002617801047120419,0.0038162442396313364,0.6859626592907242,1.2618952147554354,0.2612926569565365
34843,macitentan & selexipag,macitentan,selexipag,397974008,Hypoaesthesia,Paraesthesias and dysaesthesias,Nervous system disorders,12,5362,0.00224,20,10192,6,3749,0.00356,0.62921,0.0022429906542056075,0.001868487243981315,1.2004313443565782,0.11720694036763311,0.7320837555785207
34865,macitentan & selexipag,macitentan,selexipag,427461000,Presyncope,Neurological signs and symptoms NEC,Nervous system disorders,15,5362,0.0028,27,10192,6,3749,0.00425,0.65882,0.0028053113895642415,0.002372735116479724,1.1823112365472568,0.14166405089566045,0.7066322928538549
34866,ambrisentan & treprostinil,ambrisentan,treprostinil,427461000,Presyncope,Neurological signs and symptoms NEC,Nervous system disorders,7,1337,0.00524,15,2956,6,1280,0.00974,0.53799,0.005263157894736842,0.00498220640569395,1.056390977443609,0.0,1.0
34867,macitentan & treprostinil,macitentan,treprostinil,427461000,Presyncope,Neurological signs and symptoms NEC,Nervous system disorders,7,2408,0.00291,27,10192,6,1280,0.00733,0.397,0.0029154518950437317,0.002884867558353003,1.0106016432547045,0.0,1.0
34904,macitentan & selexipag,macitentan,selexipag,19242006,Pulmonary oedema,Pulmonary oedemas,"Respiratory, thoracic and mediastinal disorders",21,5362,0.00392,62,10192,12,3749,0.00926,0.42333,0.003931847968545216,0.005336410182447538,0.7367964294569798,1.2604245470046336,0.26157074493614424
34919,ambrisentan & selexipag,ambrisentan,selexipag,26544005,Muscular weakness,Muscle weakness conditions,Musculoskeletal and connective tissue disorders,10,2479,0.00403,8,2956,9,3749,0.0051,0.7902,0.004050222762251924,0.002541866028708134,1.5934052843494628,0.9223021925683523,0.3368712168795325
34920,macitentan & selexipag,macitentan,selexipag,26544005,Muscular weakness,Muscle weakness conditions,Musculoskeletal and connective tissue disorders,21,5362,0.00392,24,10192,9,3749,0.00474,0.827,0.003931847968545216,0.002372735116479724,1.6570951983796018,2.7999649659206782,0.09426636659185218
34937,macitentan & selexipag,macitentan,selexipag,38341003,Hypertension,Vascular hypertensive disorders NEC,Vascular disorders,11,5362,0.00205,27,10192,6,3749,0.00425,0.48235,0.0020556905251354887,0.002372735116479724,0.8663801158661932,0.05924630448443244,0.807691176836296
34958,macitentan & selexipag,macitentan,selexipag,48867003,Bradycardia,Rate and rhythm disorders NEC,Cardiac disorders,8,5362,0.00149,21,10192,13,3749,0.00552,0.26993,0.0014942099364960778,0.002444811965197383,0.6111758113779692,1.192788463945573,0.2747678108533885
34982,macitentan & selexipag,macitentan,selexipag,60046008,Pleural effusion,Pneumothorax and pleural effusions NEC,"Respiratory, thoracic and mediastinal disorders",17,5362,0.00317,55,10192,11,3749,0.00831,0.38147,0.0031805425631431243,0.004756756756756757,0.6686367888425886,1.8617208238794998,0.17242632383892736
35022,macitentan & selexipag,macitentan,selexipag,128045006,Cellulitis,Bacterial infections NEC,Infections and infestations,7,5362,0.00131,25,10192,9,3749,0.00484,0.27066,0.00130718954248366,0.002444811965197383,0.5346789696270664,1.8426628712300734,0.17463916290534376
35053,macitentan & selexipag,macitentan,selexipag,247441003,Erythema,Erythemas,Skin and subcutaneous tissue disorders,12,5362,0.00224,22,10192,11,3749,0.00508,0.44094,0.0022429906542056075,0.002372735116479724,0.9453186066270178,1.8623461052524642e-09,0.9999655673650026
35065,macitentan & selexipag,macitentan,selexipag,271832001,Flatulence,"Flatulence, bloating and distension",Gastrointestinal disorders,11,5362,0.00205,16,10192,8,3749,0.0037,0.55405,0.0020556905251354887,0.0017245095925846087,1.1920435432629415,0.0862874377363772,0.768951057844161
35093,macitentan & selexipag,macitentan,selexipag,389026000,Ascites,Peritoneal and retroperitoneal disorders,Gastrointestinal disorders,17,5362,0.00317,39,10192,7,3749,0.00569,0.55712,0.0031805425631431243,0.003310543360921195,0.9607312807581241,2.609723794846494e-09,0.999959239703549
35098,macitentan & selexipag,macitentan,selexipag,405729008,Haematochezia,Non-site specific gastrointestinal haemorrhages,Gastrointestinal disorders,8,5362,0.00149,18,10192,8,3749,0.0039,0.38205,0.0014942099364960778,0.001868487243981315,0.7996896640901124,0.13102628407061884,0.7173703167560864
35397,atorvastatin & simvastatin,atorvastatin,simvastatin,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,11,189,0.0582,43,1386,96,1961,0.07845,0.74187,0.06179775280898876,0.04332917705735661,1.426238784253496,0.8480230950719702,0.357112196773685
35880,methotrexate & tofacitinib,methotrexate,tofacitinib,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,22,965,0.0228,13,2139,56,3663,0.02128,1.07143,0.02332979851537646,0.012035583464154892,1.938401954908018,6.617838350425243,0.010096230155236688
35951,methotrexate & tofacitinib,methotrexate,tofacitinib,22325002,Gait disturbance,Gait disturbances,General disorders and administration site conditions,9,965,0.00933,7,2139,33,3663,0.01225,0.76163,0.009414225941422594,0.006942034015966678,1.3561192468619248,0.38458143873027667,0.5351614692524378
36019,methotrexate & tofacitinib,methotrexate,tofacitinib,106048009,Dyspnoea,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders",18,965,0.01865,21,2139,43,3663,0.02144,0.86987,0.01900739176346357,0.011153712094806553,1.7041314677930306,3.4040442611430404,0.06503677930322958
36272,ibandronate & alendronate,ibandronate,alendronate,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,6,1352,0.00444,9,560,37,8233,0.02049,0.21669,0.004457652303120356,0.005258945924316909,0.8476322759868208,0.03093046316442553,0.8603956137840085
36322,ibandronate & alendronate,ibandronate,alendronate,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,16,1352,0.01183,15,560,77,8233,0.03589,0.32962,0.011976047904191617,0.010573497299161017,1.1326477479822963,0.09930843316048465,0.7526611248450532
36323,levothyroxine & alendronate,levothyroxine,alendronate,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,6,454,0.01322,322,33683,77,8233,0.01882,0.70244,0.013392857142857142,0.009610520991401113,1.3935620300751879,0.31665956861384426,0.5736220713868505
36336,risedronate & alendronate,risedronate,alendronate,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,11,818,0.01345,12,593,77,8233,0.0294,0.45748,0.013630731102850062,0.010186562893441685,1.3381089623101234,0.530132562315812,0.46655113287295313
36339,zoledronic acid & alendronate,zoledronic acid,alendronate,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,8,522,0.01533,183,24316,77,8233,0.01681,0.91196,0.01556420233463035,0.00805227786552696,1.9328943430110748,2.589020169320867,0.10760688560872354
36593,zoledronic acid & alendronate,zoledronic acid,alendronate,66931009,Blood calcium increased,Mineral and electrolyte analyses,Investigations,6,522,0.01149,31,24316,6,8233,0.002,5.745,0.011627906976744186,0.001138041338582677,10.217473287240729,34.84235716783681,3.5751023099218847e-09
37135,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,386807006,Memory impairment,Memory loss (excl dementia),Nervous system disorders,9,797,0.01129,47,6447,85,12055,0.01429,0.79006,0.011421319796954314,0.00718562874251497,1.5894670050761421,1.293221713666794,0.2554550777135358
37227,ruxolitinib & deferasirox,ruxolitinib,deferasirox,386661006,Pyrexia,Febrile disorders,General disorders and administration site conditions,6,94,0.06383,37,2378,31,1221,0.04055,1.57411,0.06818181818181818,0.019258000566411783,3.540441176470588,7.270589215205412,0.007009280571834105
37331,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,22325002,Gait disturbance,Gait disturbances,General disorders and administration site conditions,15,797,0.01882,77,6447,156,12055,0.02473,0.76102,0.01918158567774936,0.012753845311730254,1.5039845010592405,1.8707482146054324,0.17138941016565595
37426,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,11,797,0.0138,129,6447,208,12055,0.03691,0.37388,0.013994910941475827,0.01855216074869254,0.7543547692934968,0.6094531028144231,0.43499380092069684
37524,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,387603000,Balance disorder,Coordination and balance disturbances,Nervous system disorders,8,797,0.01004,38,6447,71,12055,0.01175,0.85447,0.010139416983523447,0.005926167563747078,1.7109568493389609,1.546261288184809,0.21368822578349708
37686,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,7973008,Visual impairment,Visual impairment and blindness (excl colour blindness),Eye disorders,13,797,0.01631,71,6447,94,12055,0.01872,0.87126,0.016581632653061226,0.008998200359928014,1.8427721088435376,3.797090036838144,0.05134173779779244
38039,pantoprazole & citalopram,pantoprazole,citalopram,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,9,118,0.07627,7,582,16,1550,0.02223,3.43095,0.08256880733944955,0.010905642484589853,7.571200638213004,29.686702651037,5.078197075790723e-08
38749,macitentan & selexipag,macitentan,selexipag,19943007,Hepatic cirrhosis,Hepatic fibrosis and cirrhosis,Hepatobiliary disorders,8,5362,0.00149,9,10192,6,3749,0.00248,0.60081,0.0014942099364960778,0.001077121930202499,1.3872245050429586,0.26784408620485484,0.6047816575235426
38962,lamotrigine & valproate,lamotrigine,valproate,386661006,Pyrexia,Febrile disorders,General disorders and administration site conditions,33,716,0.04609,86,3479,21,6879,0.02769,1.6645,0.048316251830161056,0.01043800604819042,4.628877546831598,65.77113187321395,5.064463316581271e-16
38994,metformin & sitagliptin,metformin,sitagliptin,414024009,Coronary artery disease,Coronary artery disorders NEC,Cardiac disorders,10,1807,0.00553,6,4198,44,7064,0.00765,0.72288,0.005564830272676683,0.004459507670353193,1.2478575403450194,0.20372044348046278,0.6517344231171127
39578,methotrexate & tofacitinib,methotrexate,tofacitinib,404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders,12,965,0.01244,11,2139,48,3663,0.01817,0.68465,0.012591815320041973,0.010273376284172036,1.225674498016967,0.22013888978310736,0.6389341117066444
39842,lamotrigine & quetiapine,lamotrigine,quetiapine,87715008,Aptyalism,Oral dryness and saliva altered,Gastrointestinal disorders,8,141,0.05674,13,3479,6,1163,0.00888,6.38964,0.06015037593984962,0.004109885355829548,14.63553620894341,58.51221712793837,2.0203248603273694e-14
40056,methotrexate & tofacitinib,methotrexate,tofacitinib,49727002,Cough,Coughing and associated symptoms,"Respiratory, thoracic and mediastinal disorders",15,965,0.01554,12,2139,49,3663,0.01891,0.82179,0.015789473684210527,0.010625326598153632,1.4860224331320104,1.45962635716946,0.22698958058208302
40406,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,44808001,Arrhythmia,Rate and rhythm disorders NEC,Cardiac disorders,8,797,0.01004,18,6447,42,12055,0.00626,1.60383,0.010139416983523447,0.0032534432274156817,3.11651880016899,8.205222511963049,0.004176998620890922
40515,lenalidomide & dexamethasone,lenalidomide,dexamethasone,193462001,Insomnia,Disturbances in initiating and maintaining sleep,Psychiatric disorders,9,843,0.01068,20,2240,10,360,0.03646,0.29292,0.01079136690647482,0.011673151750972763,0.9244604316546763,0.00033595549742566715,0.985376321829148
40748,lamivudine & adefovir,lamivudine,adefovir,57676002,Arthralgia,Joint related signs and symptoms,Musculoskeletal and connective tissue disorders,21,596,0.03523,6,349,14,433,0.04896,0.71957,0.036521739130434785,0.026246719160104987,1.3914782608695653,0.784177814508273,0.375866453316434
40929,lamotrigine & valproate,lamotrigine,valproate,40739000,Dysphagia,Gastrointestinal signs and symptoms NEC,Gastrointestinal disorders,11,716,0.01536,7,3479,8,6879,0.00317,4.84543,0.015602836879432624,0.0014502562119307744,10.758676122931442,49.57935933439515,1.9050748966019817e-12
41008,lamotrigine & valproate,lamotrigine,valproate,79890006,Decreased appetite,Appetite disorders,Metabolism and nutrition disorders,6,716,0.00838,19,3479,11,6879,0.00705,1.18865,0.008450704225352112,0.0029047250193648335,2.909295774647887,4.637711447720892,0.03127668468976072
41080,olanzapine & venlafaxine,olanzapine,venlafaxine,271782001,Somnolence,Disturbances in consciousness NEC,Nervous system disorders,9,179,0.05028,59,2685,22,3133,0.02884,1.74341,0.052941176470588235,0.0141188774620882,3.749673202614379,13.166329004473887,0.00028502456589702405
