snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name
308857008,Oesophageal dysplasia,Gastrointestinal mucosal dystrophies and secretion disorders,Gastrointestinal disorders
443488001,Malignant anorectal neoplasm,Colorectal neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
53926002,Fibrinous bronchitis,Bronchial conditions NEC,"Respiratory, thoracic and mediastinal disorders"
86095007,Inborn error of metabolism,Inborn errors of metabolism NEC,"Congenital, familial and genetic disorders"
67279004,Median nerve injury,Peripheral nerve injuries,"Injury, poisoning and procedural complications"
233679003,Asthma late onset,Bronchospasm and obstruction,"Respiratory, thoracic and mediastinal disorders"
18973006,Uterovaginal prolapse,Pelvic prolapse conditions,Reproductive system and breast disorders
3754002,Vaginal dysplasia,Vulvovaginal disorders NEC,Reproductive system and breast disorders
82729001,Caput succedaneum,Neonatal disorders due to birth trauma (excl intracranial haemorrhages),"Pregnancy, puerperium and perinatal conditions"
38928007,Volume blood increased,Water and electrolyte analyses NEC,Investigations
240105009,Viral myositis,Viral infections NEC,Infections and infestations
4089001,Meningococcal sepsis,Neisseria infections,Infections and infestations
4089001,Meningococcal bacteraemia,Neisseria infections,Infections and infestations
278536002,Postpericardiotomy syndrome,Cardiac and vascular procedural complications,"Injury, poisoning and procedural complications"
236430009,Pigment nephropathy,Nephropathies and tubular disorders NEC,Renal and urinary disorders
237324001,Cervix dystocia,Maternal complications of delivery NEC,"Pregnancy, puerperium and perinatal conditions"
240211000,Intervertebral disc calcification,Intervertebral disc disorders NEC,Musculoskeletal and connective tissue disorders
2775001,Loose body in joint,Joint related signs and symptoms,Musculoskeletal and connective tissue disorders
162214009,Infantile colic,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal disorders
22443004,Vestibular ataxia,Inner ear signs and symptoms,Ear and labyrinth disorders
16485001,Tonsillar ulcer,Pharyngeal disorders (excl infections and neoplasms),"Respiratory, thoracic and mediastinal disorders"
58459009,Niemann-Pick disease,Lysosomal storage disorders,"Congenital, familial and genetic disorders"
88697005,Polymorphic eruption of pregnancy,Pruritus NEC,Skin and subcutaneous tissue disorders
236630004,Chemical cystitis,Chemical injuries,"Injury, poisoning and procedural complications"
300932000,Uvulitis,Oral soft tissue disorders NEC,Gastrointestinal disorders
236671005,Bladder necrosis,Bladder disorders NEC,Renal and urinary disorders
192781003,Leukodystrophy,Lysosomal storage disorders,"Congenital, familial and genetic disorders"
88294009,Ovarian rupture,Ovarian and fallopian tube disorders NEC,Reproductive system and breast disorders
236024003,Inguinal hernia strangulated,Inguinal hernias,Gastrointestinal disorders
192685000,Subacute sclerosing panencephalitis,Inflammatory disorders following infection,Infections and infestations
312195001,Genital infection male,Male reproductive tract infections,Infections and infestations
89310008,Contracted bladder,Myoneurogenic bladder disorders,Renal and urinary disorders
30468000,Dolichocolon,Intestinal disorders congenital,"Congenital, familial and genetic disorders"
95614004,Circulatory failure neonatal,Circulatory collapse and shock,Vascular disorders
131110004,Vitamin A decreased,Vitamin analyses,Investigations
76220009,Acid-base balance disorder mixed,Mixed acid-base disorders,Metabolism and nutrition disorders
165143003,Endoscopy abnormal,Imaging procedures NEC,Investigations
54137008,Vitamin E deficiency,Fat soluble vitamin deficiencies and disorders,Metabolism and nutrition disorders
307573009,Osteochondroma,Cartilage neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
298692000,Lasegue's test positive,Neurologic diagnostic procedures,Investigations
52184009,Parent-child problem,Family and partner issues,Social circumstances
128094006,Refractoriness to platelet transfusion,Transfusion related complications,"Injury, poisoning and procedural complications"
95611007,Hypoventilation neonatal,Neonatal hypoxic conditions,"Respiratory, thoracic and mediastinal disorders"
268240006,Congenital torticollis,Musculoskeletal and connective tissue disorders of spine congenital,"Congenital, familial and genetic disorders"
363463000,Malignant neoplasm of conjunctiva,Ocular neoplasms malignant (excl melanomas),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
103019006,Fontanelle bulging,Neurological signs and symptoms NEC,Nervous system disorders
72556006,Vth nerve injury,Cranial nerve injuries,"Injury, poisoning and procedural complications"
249405005,Oral pigmentation,Oral soft tissue signs and symptoms,Gastrointestinal disorders
111289009,Pulmonary arteriovenous fistula,Vascular anomalies congenital NEC,"Congenital, familial and genetic disorders"
2496007,Acalculia,Cortical dysfunction NEC,Nervous system disorders
424078005,Lung adenocarcinoma stage I,Non-small cell neoplasms malignant of the respiratory tract cell type specified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
34038005,Pleural adhesion,Pleural conditions NEC,"Respiratory, thoracic and mediastinal disorders"
254901000,Prostatic dysplasia,"Prostatic signs, symptoms and disorders NEC",Reproductive system and breast disorders
30128009,Slipping rib syndrome,Cartilage disorders,Musculoskeletal and connective tissue disorders
40077001,Magical thinking,Thinking disturbances,Psychiatric disorders
254865006,Ovarian fibroma,Ovarian neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
195126007,Atrial hypertrophy,Myocardial disorders NEC,Cardiac disorders
373585009,Congenital ureterovesical junction anomaly,Bladder disorders congenital,"Congenital, familial and genetic disorders"
60100005,Pharyngeal cyst,Pharyngeal disorders (excl infections and neoplasms),"Respiratory, thoracic and mediastinal disorders"
21111006,Trisomy 13,Autosomal chromosomal abnormalities,"Congenital, familial and genetic disorders"
10948005,Spondylitic myelopathy,Spinal cord and nerve root disorders NEC,Nervous system disorders
49605003,Ophthalmoplegic migraine,Headaches NEC,Nervous system disorders
60853003,Magnesium metabolism disorder,Magnesium metabolism disorders,Metabolism and nutrition disorders
78095005,Haematosalpinx,Ovarian and fallopian tube disorders NEC,Reproductive system and breast disorders
60098005,Vulva cyst,Vulvovaginal cysts and neoplasms,Reproductive system and breast disorders
65382006,Bromhidrosis,Apocrine and eccrine gland disorders,Skin and subcutaneous tissue disorders
42059000,Retinoschisis,"Retinal structural change, deposit and degeneration",Eye disorders
302851001,Synovial sarcoma,Soft tissue sarcomas histology unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
47372000,Adjustment disorder with anxiety,Adjustment disorders,Psychiatric disorders
87991007,Gender dysphoria,Sexual and gender identity disorders NEC,Psychiatric disorders
253528005,Arrhythmogenic right ventricular dysplasia,Cardiac disorders congenital NEC,"Congenital, familial and genetic disorders"
92546004,"Bladder cancer stage 0, with cancer in situ",Bladder neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
65587001,Congenital cerebrovascular anomaly,Vascular anomalies congenital NEC,"Congenital, familial and genetic disorders"
86204009,Primary ciliary dyskinesia,Respiratory tract disorders congenital NEC,"Congenital, familial and genetic disorders"
32931001,Pleural calcification,Pleural conditions NEC,"Respiratory, thoracic and mediastinal disorders"
48951005,Diabetic bullosis,Bullous conditions,Skin and subcutaneous tissue disorders
440574002,Nerve stimulation test abnormal,Neurologic diagnostic procedures,Investigations
249444002,Vocal cord cyst,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),"Respiratory, thoracic and mediastinal disorders"
68670009,Blepharitis allergic,"Lid, lash and lacrimal infections, irritations and inflammations",Eye disorders
22049009,Mammary duct ectasia,Breast disorders NEC,Reproductive system and breast disorders
237821001,Hermaphroditism,Reproductive tract disorders congenital NEC,"Congenital, familial and genetic disorders"
290187002,Spigelian hernia,Abdominal hernias NEC,Gastrointestinal disorders
312125005,Genital infection bacterial,Bacterial infections NEC,Infections and infestations
12301009,Urinary tract infection neonatal,Urinary tract infections,Infections and infestations
254764001,Primitive neuroectodermal tumour,Nervous system neoplasms malignant NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
68982002,Olfactory nerve disorder,Olfactory nerve disorders,Nervous system disorders
236821005,Non-consummation,Sexuality issues,Social circumstances
68996008,Middle ear disorder,Middle ear disorders NEC,Ear and labyrinth disorders
36135007,Endocarditis noninfective,Endocarditis NEC,Cardiac disorders
52079000,Congenital HIV infection,Viral infections congenital,"Congenital, familial and genetic disorders"
124035003,Beta globulin increased,Protein analyses NEC,Investigations
46303000,Meningitis coccidioides,Coccidioides infections,Infections and infestations
262524001,Spinal cord injury lumbar,Spinal cord injuries NEC,"Injury, poisoning and procedural complications"
312123003,Urogenital infection bacterial,Bacterial infections NEC,Infections and infestations
5743005,Iridoschisis,"Iris and ciliary body structural change, deposit and degeneration",Eye disorders
40527005,Pulmonary haemosiderosis,Parenchymal lung disorders NEC,"Respiratory, thoracic and mediastinal disorders"
95354006,Mucosa vesicle,Mucosal findings abnormal,General disorders and administration site conditions
95403007,Injection site fibrosis,Injection site reactions,General disorders and administration site conditions
302783002,Red blood cell agglutination,Red blood cell abnormal findings NEC,Blood and lymphatic system disorders
95896000,Infection protozoal,Protozoal infections NEC,Infections and infestations
190981001,Selective IgG subclass deficiency,Primary immunodeficiency syndromes,Immune system disorders
63565007,Congenital anaemia,Anaemias congenital (excl haemoglobinopathies),"Congenital, familial and genetic disorders"
94488007,Metastases to pharynx,Metastases to specified sites,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
27911000,Ligament laxity,Joint related disorders NEC,Musculoskeletal and connective tissue disorders
373425009,Corneal endotheliitis,"Corneal infections, oedemas and inflammations",Eye disorders
58882000,"Cystic eyeball, congenital",Ocular disorders congenital NEC,"Congenital, familial and genetic disorders"
109853004,Peritoneal mesothelioma malignant,Mesotheliomas malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
405810005,Cogan's syndrome,"Iris and uveal tract infections, irritations and inflammations",Eye disorders
75119003,Hepatic amoebiasis,Amoebic infections,Infections and infestations
37762002,Face presentation,Foetal position and presentation abnormalities,"Pregnancy, puerperium and perinatal conditions"
37762002,Brow presentation,Foetal position and presentation abnormalities,"Pregnancy, puerperium and perinatal conditions"
238456006,Snake bite,Non-site specific injuries NEC,"Injury, poisoning and procedural complications"
64169002,Traumatic shock,Non-site specific injuries NEC,"Injury, poisoning and procedural complications"
26935004,Thyroid tuberculosis,Tuberculous infections,Infections and infestations
278697001,Eyelid tumour,Ocular neoplasms malignancy unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
26103000,Hepatic echinococciasis,Cestode infections,Infections and infestations
1763009,Keratitis interstitial,"Corneal infections, oedemas and inflammations",Eye disorders
403601003,Neuropathic ulcer,Skin and subcutaneous tissue ulcerations,Skin and subcutaneous tissue disorders
420987007,Corneal epithelial microcysts,"Corneal structural change, deposit and degeneration",Eye disorders
230438007,Acquired epileptic aphasia,Seizures and seizure disorders NEC,Nervous system disorders
403824007,Muir-Torre syndrome,Intestinal disorders congenital,"Congenital, familial and genetic disorders"
7449006,Femoral nerve injury,Peripheral nerve injuries,"Injury, poisoning and procedural complications"
65209002,Basophilia,Leukocytoses NEC,Blood and lymphatic system disorders
166803003,Electrophoresis protein abnormal,Protein analyses NEC,Investigations
95675005,Ulnar neuritis,Mononeuropathies,Nervous system disorders
94096009,Thymoma malignant,Mediastinal neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
95800001,Hyalosis asteroid,"Choroid and vitreous structural change, deposit and degeneration",Eye disorders
19557000,Hyperexplexia,Neurological disorders congenital NEC,"Congenital, familial and genetic disorders"
240523007,Haemorrhagic fever,Viral infections NEC,Infections and infestations
95421005,Myalgia intercostal,Muscle pains,Musculoskeletal and connective tissue disorders
88923002,Progressive muscular atrophy,Motor neurone diseases,Nervous system disorders
255154009,Benign salivary gland neoplasm,Lip and oral cavity neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
63835008,Voyeurism,Paraphilias and paraphilic disorders,Psychiatric disorders
41614006,Hypoplastic anaemia,Marrow depression and hypoplastic anaemias,Blood and lymphatic system disorders
71311003,Kyphosis congenital,Musculoskeletal and connective tissue disorders of spine congenital,"Congenital, familial and genetic disorders"
416413003,Pregnancy with advanced maternal age,High risk pregnancies,"Pregnancy, puerperium and perinatal conditions"
387682007,Vulval cellulitis,Bacterial infections NEC,Infections and infestations
1926006,Osteopetrosis,Non-site specific bone disorders congenital,"Congenital, familial and genetic disorders"
59857007,Branchial cleft sinus,"Musculoskeletal and connective tissue disorders of face, neck and jaw congenital","Congenital, familial and genetic disorders"
59857007,Branchial cyst,"Musculoskeletal and connective tissue disorders of face, neck and jaw congenital","Congenital, familial and genetic disorders"
5919001,Papillary muscle rupture,Myocardial disorders NEC,Cardiac disorders
85892000,Promiscuity,Sexuality issues,Social circumstances
74345006,Autosomal chromosome anomaly,Autosomal chromosomal abnormalities,"Congenital, familial and genetic disorders"
40780007,Human T-cell lymphotropic virus type I infection,Retroviral infections,Infections and infestations
405769009,Klinefelter's syndrome,Sex chromosomal abnormalities,"Congenital, familial and genetic disorders"
19346006,Marfan's syndrome,Musculoskeletal and connective tissue disorders of limbs congenital,"Congenital, familial and genetic disorders"
197919005,Urethral meatus stenosis,Structural and obstructive urethral disorders (excl congenital),Renal and urinary disorders
284077005,Perineal fistula,Reproductive tract disorders NEC (excl neoplasms),Reproductive system and breast disorders
42788006,Venous pressure jugular decreased,Cardiac function diagnostic procedures,Investigations
19719003,Jessner's lymphocytic infiltration,Papulosquamous conditions,Skin and subcutaneous tissue disorders
74945001,Uterine abscess,Female reproductive tract infections,Infections and infestations
54501006,Neologism,Speech and language usage disturbances,Psychiatric disorders
131064004,Oestradiol abnormal,Reproductive hormone analyses,Investigations
39058009,Diabetic amyotrophy,Myopathies,Musculoskeletal and connective tissue disorders
95830009,Pituitary infarction,Hypothalamic and pituitary disorders NEC,Endocrine disorders
28249008,Jamais vu,Perception disturbances NEC,Psychiatric disorders
196764005,Gastrointestinal scarring,Gastrointestinal stenosis and obstruction NEC,Gastrointestinal disorders
110995008,Porcelain gallbladder,Gallbladder disorders NEC,Hepatobiliary disorders
40987004,Intermittent explosive disorder,Impulse control disorders,Psychiatric disorders
188754005,Acute megakaryocytic leukaemia,Leukaemias acute myeloid,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
164852001,Electrocardiogram ambulatory abnormal,ECG investigations,Investigations
17128000,Congenital diaphragmatic eventration,Diaphragmatic disorders congenital,"Congenital, familial and genetic disorders"
205681004,Gonadal dysgenesis,Sex chromosomal abnormalities,"Congenital, familial and genetic disorders"
95630007,Dyskinesia neonatal,Dyskinesias and movement disorders NEC,Nervous system disorders
185351004,Physical examination,Physical examination procedures and organ system status,Investigations
129646001,Hyperglobulinaemia,Haematological disorders,Blood and lymphatic system disorders
102836007,Urethral spasm,Structural and obstructive urethral disorders (excl congenital),Renal and urinary disorders
95464003,Congenital absence of cranial vault,Musculoskeletal and connective tissue disorders of skull congenital,"Congenital, familial and genetic disorders"
13285005,Cystitis glandularis,Bladder infections and inflammations,Renal and urinary disorders
126965008,Meningeal neoplasm,Nervous system neoplasms unspecified malignancy NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
109623008,Gingival hypoplasia,"Gingival disorders, signs and symptoms NEC",Gastrointestinal disorders
126865007,Peritoneal neoplasm,Gastrointestinal neoplasms malignancy unspecified NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
199047001,False labour,Failed labour,"Pregnancy, puerperium and perinatal conditions"
7183006,Anophthalmos,Ocular disorders congenital NEC,"Congenital, familial and genetic disorders"
92308005,Benign neoplasm of prostate,Prostatic neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
45342007,Yellow nail syndrome,Nail and nail bed conditions (excl infections and infestations),Skin and subcutaneous tissue disorders
23344004,Lumbar hernia,Abdominal hernias NEC,Gastrointestinal disorders
73097000,Wernicke-Korsakoff syndrome,Memory loss (excl dementia),Nervous system disorders
73097000,Korsakoff's syndrome,Amnestic disorders,Psychiatric disorders
3289004,Anisometropia,Refractive and accommodative disorders,Eye disorders
36675003,Periphlebitis,Phlebitis NEC,Vascular disorders
44912006,Clitoral engorgement,Vulvovaginal signs and symptoms,Reproductive system and breast disorders
28975000,Congenital aplastic anaemia,Anaemias congenital (excl haemoglobinopathies),"Congenital, familial and genetic disorders"
85289008,Erythropsia,Visual colour distortions,Eye disorders
90224001,Coma neonatal,Coma states,Nervous system disorders
81407003,Apical granuloma,Dental and periodontal infections and inflammations,Gastrointestinal disorders
92443005,Tongue neoplasm benign,Lip and oral cavity neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
80116000,Postoperative heterotopic calcification,Non-site specific procedural complications,"Injury, poisoning and procedural complications"
363499005,Malignant splenic neoplasm,Haematologic neoplasms NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
247199007,Choroidal sclerosis,Choroid and vitreous haemorrhages and vascular disorders,Eye disorders
27982003,Brown-Sequard syndrome,Spinal cord and nerve root disorders NEC,Nervous system disorders
25690000,Femoral nerve palsy,Mononeuropathies,Nervous system disorders
28399005,Spleen tuberculosis,Tuberculous infections,Infections and infestations
86423004,Laryngeal polyp,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),"Respiratory, thoracic and mediastinal disorders"
4839005,Lacrimal gland enlargement,"Lid, lash and lacrimal structural disorders",Eye disorders
49949003,Paroxysmal choreoathetosis,Choreiform movements,Nervous system disorders
82769000,Ovarian necrosis,Ovarian and fallopian tube disorders NEC,Reproductive system and breast disorders
79468000,Benign familial pemphigus,Skin and subcutaneous tissue disorders congenital NEC,"Congenital, familial and genetic disorders"
111356006,Enterocolonic fistula,Gastrointestinal fistulae,Gastrointestinal disorders
90154003,Papillary muscle disorder,Myocardial disorders NEC,Cardiac disorders
302810003,Central nervous system viral infection,Viral infections NEC,Infections and infestations
38353004,Porencephaly,Cerebral disorders congenital,"Congenital, familial and genetic disorders"
93142004,Leukaemia in remission,Leukaemias NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
105490003,Overwork,Employment issues,Social circumstances
238536008,Traumatic ulcer,Non-site specific injuries NEC,"Injury, poisoning and procedural complications"
94286009,Metastases to oesophagus,Metastases to specified sites,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
28861008,Craniofacial dysostosis,Musculoskeletal and connective tissue disorders of skull congenital,"Congenital, familial and genetic disorders"
126770008,Lip neoplasm,Lip and oral cavity neoplasms malignancy unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
47704002,Blepharochalasis,"Lid, lash and lacrimal structural disorders",Eye disorders
190459003,Parathyroid cyst,Parathyroid disorders NEC,Endocrine disorders
237716008,Pituitary cyst,Pituitary neoplasms,Endocrine disorders
27908001,Amoebic brain abscess,Amoebic infections,Infections and infestations
128937004,Viral skin infection,Viral infections NEC,Infections and infestations
48124008,Biliary fibrosis,Hepatic fibrosis and cirrhosis,Hepatobiliary disorders
10623005,Fibrous dysplasia of bone,Non-site specific bone disorders congenital,"Congenital, familial and genetic disorders"
242605002,Human bite,Non-site specific injuries NEC,"Injury, poisoning and procedural complications"
25896009,Ileal atresia,Intestinal disorders congenital,"Congenital, familial and genetic disorders"
51467008,Extravascular haemolysis,Haemolyses NEC,Blood and lymphatic system disorders
94513006,Metastases to rectum,Metastases to specified sites,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
286905003,Benign soft tissue neoplasm,Soft tissue neoplasms benign NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
21247003,Mediastinal fibrosis,Mediastinal disorders,"Respiratory, thoracic and mediastinal disorders"
21261008,Functional residual capacity decreased,Respiratory and pulmonary function diagnostic procedures,Investigations
14852000,Myringitis,Ear infections,Infections and infestations
196133001,Systemic sclerosis pulmonary,Lower respiratory tract inflammatory and immunologic conditions,"Respiratory, thoracic and mediastinal disorders"
58188004,Traumatic arthropathy,Bone and joint injuries NEC,"Injury, poisoning and procedural complications"
58188004,Traumatic arthritis,Bone and joint injuries NEC,"Injury, poisoning and procedural complications"
363399006,Hypopharyngeal cancer,Hypopharyngeal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
92056006,Benign neoplasm of cervix uteri,Cervix neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
57497006,Spleen malformation,Lymphatic system disorders congenital,"Congenital, familial and genetic disorders"
204306007,Fallot's pentalogy,Multiple cardiac abnormalities congenital,"Congenital, familial and genetic disorders"
91860005,Acute myeloid leukaemia (in remission),Leukaemias acute myeloid,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
268160006,Corneal opacity congenital,Corneal and scleral disorders congenital,"Congenital, familial and genetic disorders"
266162007,Enterobiasis,Nematode infections,Infections and infestations
16924008,Labia enlarged,Vulvovaginal signs and symptoms,Reproductive system and breast disorders
128125000,Bronchial injury,Chest and respiratory tract injuries NEC,"Injury, poisoning and procedural complications"
29147005,Mucocutaneous candidiasis,Candida infections,Infections and infestations
18620009,Pulmonary sequestration,Pulmonary and bronchial disorders congenital,"Congenital, familial and genetic disorders"
2216005,Nocturnal emission,Erection and ejaculation conditions and disorders,Reproductive system and breast disorders
56797000,Congenital hypertrichosis,Hair and nail disorders congenital,"Congenital, familial and genetic disorders"
428111003,Burkholderia pseudomallei infection,Burkholderia infections,Infections and infestations
400171002,Malignant atrophic papulosis,Papulosquamous conditions,Skin and subcutaneous tissue disorders
34361001,Cataract traumatic,Eye injuries NEC,"Injury, poisoning and procedural complications"
301061006,Ear canal stenosis,External ear disorders NEC,Ear and labyrinth disorders
205824006,Noonan syndrome,Musculoskeletal disorders congenital NEC,"Congenital, familial and genetic disorders"
4529005,Spermatogenesis abnormal,Spermatogenesis and semen disorders,Reproductive system and breast disorders
111425004,Post abortion infection,Female reproductive tract infections,Infections and infestations
23462007,Vulvovaginal disorder,Vulvovaginal disorders NEC,Reproductive system and breast disorders
39402007,Pelvic congestion,Pelvis and broad ligament disorders NEC,Reproductive system and breast disorders
58750007,Plague,Yersinia infections,Infections and infestations
95624007,Lymphocytopenia neonatal,Leukopenias NEC,Blood and lymphatic system disorders
192775006,Central nervous system abscess,Central nervous system and spinal infections,Infections and infestations
39462005,Thyroglossal cyst,Thyroid disorders congenital,"Congenital, familial and genetic disorders"
95892003,Persistent generalised lymphadenopathy,Retroviral infections,Infections and infestations
38827001,Congenital spinal fusion,Musculoskeletal and connective tissue disorders of spine congenital,"Congenital, familial and genetic disorders"
15165002,Rectourethral fistula,Gastrointestinal fistulae,Gastrointestinal disorders
20957000,Carbohydrate metabolism disorder,Inborn errors of carbohydrate metabolism (excl glucose),"Congenital, familial and genetic disorders"
254848002,Intraductal papilloma of breast,Breast and nipple neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
60412004,Myiasis,Ectoparasitic infestations,Infections and infestations
408663001,Conjunctivochalasis,"Conjunctival structural change, deposit and degeneration",Eye disorders
60658009,Rectal stenosis,Anal and rectal stenosis and obstruction,Gastrointestinal disorders
373437006,Bovine tuberculosis,Tuberculous infections,Infections and infestations
198159006,Parametritis,Female reproductive tract infections,Infections and infestations
268205005,Congenital large intestinal atresia,Intestinal disorders congenital,"Congenital, familial and genetic disorders"
13806003,Congenital urethral anomaly,Renal and urinary tract disorders congenital NEC,"Congenital, familial and genetic disorders"
109998009,Refractory anaemia with ringed sideroblasts,Myelodysplastic syndromes,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
62211002,Urticaria thermal,Urticarias,Skin and subcutaneous tissue disorders
11543004,Otosclerosis,Middle ear disorders NEC,Ear and labyrinth disorders
24813008,Gastrointestinal procedural complication,Gastrointestinal and hepatobiliary procedural complications,"Injury, poisoning and procedural complications"
15284007,Oesophageal tuberculosis,Tuberculous infections,Infections and infestations
52914002,Anal candidiasis,Candida infections,Infections and infestations
276458009,Nail atrophy,Nail and nail bed conditions (excl infections and infestations),Skin and subcutaneous tissue disorders
165462005,Plasma viscosity decreased,Haematological analyses NEC,Investigations
277567002,T-cell prolymphocytic leukaemia,Leukaemias chronic T-cell,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
238418005,Erythrasma,Corynebacteria infections,Infections and infestations
288276001,Cerebral haemorrhage foetal,Central nervous system haemorrhages and cerebrovascular accidents,Nervous system disorders
232408005,Pharyngeal stenosis,Pharyngeal disorders (excl infections and neoplasms),"Respiratory, thoracic and mediastinal disorders"
49008000,Kidney malrotation,Renal disorders congenital,"Congenital, familial and genetic disorders"
36311007,Vulval oedema,Vulvovaginal signs and symptoms,Reproductive system and breast disorders
103011009,Exertional headache,Headaches NEC,Nervous system disorders
188361007,Malignant neoplasm of thorax,Mediastinal neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
93797001,Genital neoplasm malignant female,Female reproductive neoplasms malignant NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
30913008,Iron metabolism disorder,Iron metabolism disorders NEC,Metabolism and nutrition disorders
72000004,Vitamin A deficiency,Fat soluble vitamin deficiencies and disorders,Metabolism and nutrition disorders
30304000,Allergic colitis,Colitis (excl infective),Gastrointestinal disorders
6815003,Bartholinitis,Female reproductive tract infections,Infections and infestations
4039009,Multi-vitamin deficiency,Vitamin deficiencies NEC,Metabolism and nutrition disorders
15576007,Necrolytic migratory erythema,Erythemas,Skin and subcutaneous tissue disorders
403969002,Glomus tumour,Soft tissue neoplasms benign NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
218728005,Interruption of aortic arch,Great vessel disorders congenital,"Congenital, familial and genetic disorders"
71639005,Lactation puerperal increased,Lactation disorders,Reproductive system and breast disorders
71779008,Aqueductal stenosis,Hydrocephalic conditions,Nervous system disorders
27720003,Dermatitis artefacta,Skin injuries NEC,"Injury, poisoning and procedural complications"
1207009,Glaucomatous optic disc atrophy,Glaucomas (excl congenital),Eye disorders
24825006,Central-alveolar hypoventilation,Sleep apnoeas,Nervous system disorders
314420008,Choroid neoplasm,Ocular neoplasms malignancy unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
314420008,Retinal neoplasm,Ocular neoplasms malignancy unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
83886009,Injury to brachial plexus due to birth trauma,Peripheral nerve injuries,"Injury, poisoning and procedural complications"
276799004,Dermatofibrosarcoma protuberans,Fibrosarcomas malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
425951002,Shrinking lung syndrome,Diaphragmatic disorders,"Respiratory, thoracic and mediastinal disorders"
276565004,Goitre congenital,Thyroid disorders congenital,"Congenital, familial and genetic disorders"
277545003,T-cell chronic lymphocytic leukaemia,Leukaemias chronic T-cell,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
398264003,Acute haemorrhagic conjunctivitis,Enteroviral infections NEC,Infections and infestations
64559002,Hypervitaminosis A,Hypervitaminoses NEC,Metabolism and nutrition disorders
276891009,Lipoma of breast,Breast and nipple neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
21846001,Actinomycotic pulmonary infection,Actinomycotic infectious disorders,Infections and infestations
55995005,Hereditary spherocytosis,Haematological disorders congenital NEC,"Congenital, familial and genetic disorders"
55995005,Spherocytic anaemia,Red cell membrane and enzyme abnormalities,Blood and lymphatic system disorders
62647006,Levator syndrome,Anal and rectal pains,Gastrointestinal disorders
27031003,African trypanosomiasis,Trypanosomal infections,Infections and infestations
25533006,Platelet production decreased,Thrombocytopenias,Blood and lymphatic system disorders
94503003,Metastases to prostate,Metastases to specified sites,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
111294009,Varicose veins of abdominal wall,Haemorrhoids and gastrointestinal varices (excl oesophageal),Gastrointestinal disorders
37445006,Cinchonism,Poisoning and toxicity,"Injury, poisoning and procedural complications"
86353007,Hypocalciuria,Urinary abnormalities,Renal and urinary disorders
58710009,Peritonitis pneumococcal,Streptococcal infections,Infections and infestations
60627008,Obturator hernia,Abdominal hernias NEC,Gastrointestinal disorders
